id,decisao,estado,data,evidencia,responsavel
D-012,PR #15 — artigos metodológicos,permanece-draft,2026-08-03,"Permanece DRAFT; autorizados apenas relatório de leitura, auditoria documental, auditoria terminológica PT-EN-ES, auditoria de direitos/PI, proposta de indexação e proposta de destino editorial. Nenhum merge.",Fabio Takwara
D-013,Divergência de main — reavaliação,superado,2026-08-03,"Análise de conteúdo (f858208 x 504b29c) demonstrou que o trabalho de agroecologia/SAF já existe no remoto (fichas idênticas; 71 arquivos no eixo vs 68 no local; artefatos v1.1 presentes). Os 3 arquivos exclusivos do local são versões consolidadas no remoto (araujo-2025→ficha-acv, wang-2020→ficha-high-temperature) ou ficha fabricada removida (silva-2011-conservacao). Nenhum PR de resgate necessário. Bundle de salvaguarda criado (SHA-256 c2d916de..., 35 refs).",Hermes/Fabio Takwara
D-014,H3-A — merge PR #11 (integração autoral bambu),aprovado-com-condicoes,2026-08-03,"Aprovado head d021fd7fbf606240e79a469986369d971fdc011d; condicionado à sequência #11→#12→#13→#14, confirmação do head antes do merge e validação pós-merge (front matter, build --strict, sem privado, Governance Check).",Fabio Takwara
D-015,H3-A — merge PR #12 (PU Vegetal),aprovado-com-condicoes,2026-08-03,Aprovado head fb1ae5b338a1a3de08c1363c8388e36066a3fb41; condicionado à navegação acumulada de mkdocs.yml.,Fabio Takwara
D-016,H3-A — merge PR #13 (Bioeconomia Amazônica),aprovado-com-condicoes,2026-08-03,Aprovado head 5b60ae5ef268ce119631fb9603e9afd5f72f6e01; condicionado à navegação acumulada de mkdocs.yml.,Fabio Takwara
D-017,H3-A — merge PR #14 (Habitação Social),aprovado-com-condicoes,2026-08-03,"Aprovado head 56cd9e44c2f08f9d1eada3651c794ac079b87566; condicionado à navegação acumulada de mkdocs.yml; ao final confirmar nav sem duplicidade (PU, Bio, Hab, Reforma, Bambu).",Fabio Takwara
D-018,PR #15 — permanece draft,mantido,2026-08-03,PR #15 não integra a autorização H3-A; permanece DRAFT; nenhum merge.,Fabio Takwara
D-019,H3-B — matrizes aprovadas como instrumento; lista definitiva devolvida,devolvido-para-ajustes,2026-08-03,Matrizes aprovadas como instrumentos de auditoria/planejamento; NÃO aprovadas como lista definitiva. Correções obrigatórias C1-C5 (homologação) e D1-D5 (direitos). Frente E bloqueada até H3-B corrigido.,Fabio Takwara
D-020,PR de resgate agroecologia/SAF — cancelado,cancelado,2026-08-03,Cancelado por inexistência de conteúdo autoral ausente no remoto (análise D-013); bundle de salvaguarda preservado.,Fabio Takwara
D-021,H3-A concluído e confirmado no GitHub,concluido,2026-08-03,"Merges #11→#12→#13→#14 executados (1883a24, 86142b8, a628fec, 6c78ae2) + correção de navegação eb3a7be; validações pós-merge verdes; PRs MERGED; PR #15 OPEN/DRAFT. (Nota: o documento H3-B reutiliza a numeração D-014..D-017 para outros fatos; este registro mestre preserva a numeração contínua D-001..D-024 e referencia os documentos-fonte.)",Fabio Takwara
D-022,H3-B aprovado com condições de integridade e reconciliação,aprovado-com-condicoes,2026-08-03,"Aprovado universo documental das matrizes v1.1, categorias de inclusão e exclusões; correções C-H3B-01 a C-H3B-03 aplicadas; preflight automático 7/7 critérios atendidos.",Fabio Takwara
D-023,Frente E autorizada após preflight automático,autorizado,2026-08-03,"Frente E (inventário definitivo em modo preparação, regenerar INVENTARIO_ACERVO.json, criar CITATION.cff, proveniência/identificadores, hashes do corte, lista de inclusão proposta) autorizada sem nova submissão humana, conforme H3-B §4.",Fabio Takwara
D-024,Candidatos P1 permanecem condicionados,condicionado,2026-08-03,"P1 = público de projeto, candidato condicionado; nenhum objeto com direitos_fonte_original, risco_pi_autoral, contem_transcricao_extensa ou contem_dado_pessoal pendentes pode receber incluir_no_pacote: sim.",Fabio Takwara
D-025,Aceite REV-002 e liberação da Frente F,aprovado,2026-08-03,"Parecer FRENTE-E-REV-002: lista de 191 e relatório REV-001 aceitos; Frente F liberada em MODO DE TESTE (build estrito, CHECKSUMS.sha256, ZIP de teste, extração em ambiente limpo). Sem congelamento: tag/release/ZIP final seguem bloqueados até H5+. 126 fichas condicionadas devem entrar na matriz de direitos quando selecionadas.",Fabio Takwara
D-026,H5 — inventário final e ZIP de teste aprovados; commit de corte autorizado,aprovado-com-condicoes,2026-08-03,"Aprovado inventário (185) e ZIP de teste (SHA-256 638213fc...); autorizado preparar branch release/acervo-2026.1 a partir de eb3a7be e commit de corte SEM push. NÃO autorizado: push, tag, GitHub Release, DOI, Zenodo, promoção de estados, divulgação.",Fabio Takwara
